"satis","country","age","age2","Country.Code","gov_cons","gdp_pc"
2,"China",47,2209,"CHN",15.5900280762445,1135.44794963606
5,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
5,"China",40,1600,"CHN",15.5900280762445,1135.44794963606
4,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
6,"China",50,2500,"CHN",15.5900280762445,1135.44794963606
6,"China",55,3025,"CHN",15.5900280762445,1135.44794963606
2,"China",34,1156,"CHN",15.5900280762445,1135.44794963606
5,"China",34,1156,"CHN",15.5900280762445,1135.44794963606
5,"China",46,2116,"CHN",15.5900280762445,1135.44794963606
6,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
6,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
8,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
6,"China",38,1444,"CHN",15.5900280762445,1135.44794963606
6,"China",34,1156,"CHN",15.5900280762445,1135.44794963606
9,"China",46,2116,"CHN",15.5900280762445,1135.44794963606
8,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
7,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
3,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
3,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
5,"China",58,3364,"CHN",15.5900280762445,1135.44794963606
6,"China",51,2601,"CHN",15.5900280762445,1135.44794963606
4,"China",27,729,"CHN",15.5900280762445,1135.44794963606
5,"China",40,1600,"CHN",15.5900280762445,1135.44794963606
5,"China",39,1521,"CHN",15.5900280762445,1135.44794963606
2,"China",50,2500,"CHN",15.5900280762445,1135.44794963606
6,"China",21,441,"CHN",15.5900280762445,1135.44794963606
5,"China",21,441,"CHN",15.5900280762445,1135.44794963606
7,"China",39,1521,"CHN",15.5900280762445,1135.44794963606
3,"China",59,3481,"CHN",15.5900280762445,1135.44794963606
5,"China",47,2209,"CHN",15.5900280762445,1135.44794963606
10,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
7,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
5,"China",54,2916,"CHN",15.5900280762445,1135.44794963606
5,"China",32,1024,"CHN",15.5900280762445,1135.44794963606
8,"China",59,3481,"CHN",15.5900280762445,1135.44794963606
6,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
2,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
5,"China",59,3481,"CHN",15.5900280762445,1135.44794963606
9,"China",31,961,"CHN",15.5900280762445,1135.44794963606
8,"China",41,1681,"CHN",15.5900280762445,1135.44794963606
7,"China",50,2500,"CHN",15.5900280762445,1135.44794963606
8,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
8,"China",29,841,"CHN",15.5900280762445,1135.44794963606
8,"China",23,529,"CHN",15.5900280762445,1135.44794963606
5,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
5,"China",47,2209,"CHN",15.5900280762445,1135.44794963606
6,"China",52,2704,"CHN",15.5900280762445,1135.44794963606
5,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
5,"China",60,3600,"CHN",15.5900280762445,1135.44794963606
1,"China",40,1600,"CHN",15.5900280762445,1135.44794963606
6,"China",47,2209,"CHN",15.5900280762445,1135.44794963606
7,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
0,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
6,"China",39,1521,"CHN",15.5900280762445,1135.44794963606
4,"China",30,900,"CHN",15.5900280762445,1135.44794963606
6,"China",34,1156,"CHN",15.5900280762445,1135.44794963606
4,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
4,"China",22,484,"CHN",15.5900280762445,1135.44794963606
0,"China",58,3364,"CHN",15.5900280762445,1135.44794963606
1,"China",38,1444,"CHN",15.5900280762445,1135.44794963606
1,"China",46,2116,"CHN",15.5900280762445,1135.44794963606
2,"China",47,2209,"CHN",15.5900280762445,1135.44794963606
4,"China",41,1681,"CHN",15.5900280762445,1135.44794963606
5,"China",57,3249,"CHN",15.5900280762445,1135.44794963606
8,"China",49,2401,"CHN",15.5900280762445,1135.44794963606
6,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
1,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
8,"China",43,1849,"CHN",15.5900280762445,1135.44794963606
5,"China",40,1600,"CHN",15.5900280762445,1135.44794963606
6,"China",48,2304,"CHN",15.5900280762445,1135.44794963606
5,"China",59,3481,"CHN",15.5900280762445,1135.44794963606
5,"China",35,1225,"CHN",15.5900280762445,1135.44794963606
5,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
7,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
7,"China",41,1681,"CHN",15.5900280762445,1135.44794963606
6,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
5,"China",52,2704,"CHN",15.5900280762445,1135.44794963606
8,"China",29,841,"CHN",15.5900280762445,1135.44794963606
5,"China",41,1681,"CHN",15.5900280762445,1135.44794963606
8,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
5,"China",50,2500,"CHN",15.5900280762445,1135.44794963606
6,"China",50,2500,"CHN",15.5900280762445,1135.44794963606
5,"China",52,2704,"CHN",15.5900280762445,1135.44794963606
5,"China",40,1600,"CHN",15.5900280762445,1135.44794963606
5,"China",45,2025,"CHN",15.5900280762445,1135.44794963606
3,"China",42,1764,"CHN",15.5900280762445,1135.44794963606
8,"China",22,484,"CHN",15.5900280762445,1135.44794963606
5,"China",44,1936,"CHN",15.5900280762445,1135.44794963606
6,"China",51,2601,"CHN",15.5900280762445,1135.44794963606
